昵称,月连接用户数(W),月深度用户数(W),星图id,内容垂类,粉丝量,60s以上视频报价,男性粉丝比例,24-30岁粉丝比例,31-40岁粉丝比例,41-50岁粉丝比例,50岁以上粉丝比例,星图指数,性价比指数,预期播放量,互动率,完播率,预期CPE,预期CPM,总分,等级
玩车的小羊,,2.4,6.85707E+18,汽车,442152,45000,0.36,0.03,0.47,0.22,0.23,46.44,65.26083922,2461,0.1388,0.0042,131.7381117,18285.25,5.7,B级
拼仔玩车🚗,,214.3,7.02843E+18,"剧情搞笑, 汽车",384170,14000,0.9,0.34,0.39,0.06,0.02,74.34,60,514582,0.0119,0.2621,2.286264557,27.21,13.6,S级
白宁的爱车时光,,188.4,6.87016E+18,汽车,414897,100000,0.82,0.21,0.38,0.12,0.23,74.16,67.44002274,40699,0.0257,0.0526,95.60555747,2457.06,10.6,S级
嗨！德老板！(车),,426.1,6.94065E+18,汽车,447310,46800,0.95,0.27,0.5,0.14,0.04,76.78,86.82205402,107888,0.0086,0.067,50.43990495,433.78,13.6,S级
小白班长🇨🇳,,613.3,6.88871E+18,汽车,444898,12100,0.84,0.29,0.31,0.08,0.04,80.54,67.1671967,149191,0.016,0.2292,5.069005503,81.1,12.1,S级
修车胡大师,,297.8,7.01168E+18,汽车,325595,25000,0.85,0.3,0.39,0.07,0.05,74.36,71.66784424,77161,0.0221,0.0553,14.66053731,324,11.1,S级
草莓味的仙女,,2.7,6.74686E+18,汽车,441946,40000,0.74,0.29,0.55,0.09,0.02,43.25,39.79538799,3663,0.8813,0.0051,12.39079873,10920.01,6.7,B级
锋田社（社長）,,388.2,6.87017E+18,汽车,456922,7800,0.98,0.19,0.51,0.21,0.04,75.98,67.403609,271392,0.007,0.0707,4.105816363,28.74,12.8,S级
小宇哥哥,,0.08,6.67309E+18,汽车,386538,32000,0.49,0.23,0.36,0.15,0.05,48.08,42.50462116,863,0,0,3.2E+13,37079.95,2.6,C级
3Gman·邹德运,,59.5,6.86038E+18,汽车,388015,19000,0.95,0.31,0.39,0.09,0.03,72.22,90.37362756,139847,0.0168,0.1525,8.087069304,135.86,15.1,S级
赛车与电影,,21.2,6.85414E+18,汽车,360049,32400,0.95,0.34,0.31,0.06,0.02,66.67,68.89163657,121438,0.0589,0.0425,4.529759133,266.8,10.4,S级
莉卡（电车姐姐）,,293.6,7.12604E+18,汽车,389789,56800,0.87,0.29,0.39,0.1,0.06,77.57,67.46933504,96403,0.0168,0.1104,35.07102871,589.19,10.6,S级
车轮哥,,147.9,6.86421E+18,汽车,455471,120000,0.96,0.28,0.47,0.11,0.03,72.09,68.71379851,62843,0.0125,0.4487,152.7616441,1909.52,10.6,S级
极客阿来,,208.1,7.00443E+18,汽车,407007,39800,0.9,0.28,0.47,0.12,0.03,82.32,93.81726937,63196,0.0133,0.1074,47.35238311,629.79,13.6,S级
小李飞车,,685.6,6.92303E+18,汽车,397154,88888,0.87,0.14,0.39,0.25,0.18,82.21,92.36006504,69338,0.0153,0.336,83.78772394,1281.95,13.6,S级
车世界,,875,7.03487E+18,汽车,426588,21600,0.8,0.26,0.44,0.14,0.04,77.82,68.55968227,137695,0.0067,0.0145,23.41320017,156.87,9,A级
最后的自由,,497.1,7.25555E+18,"汽车, 生活",422190,3450,0.65,0.35,0.32,0.07,0.03,74.46,0,135844,0.0153,0.0765,1.659920174,25.4,13.6,S级
凯文在路上🚗,,219,6.87017E+18,汽车,432971,40000,0.94,0.18,0.46,0.22,0.12,74.97,69.97047082,149593,0.0144,0.1188,18.56890214,267.39,11.1,S级
女骑士 小猫☀️,,84.6,6.87017E+18,汽车,453223,13000,0.89,0.33,0.32,0.09,0.02,69.88,75.52880866,171346,0.0188,0.2288,4.035631773,75.87,11.9,S级
说车的沙师弟,,76.5,6.97573E+18,汽车,370451,14000,0.95,0.21,0.53,0.17,0.03,74.67,66.61333516,125119,0.0201,0.1974,5.566839672,111.89,12.1,S级
bosscai666666666,,0.2,7.1566E+18,汽车,445529,31000,0.97,0.14,0.53,0.24,0.07,56.75,67.81944023,778639,0,,3.1E+13,39.81,6.6,B级
CCK CAR™,,674.7,6.97395E+18,汽车,442378,33200,0.85,0.19,0.28,0.1,0.1,75.81,69.83884708,20710,0.0259,0.222,61.89537817,1603.09,10.6,S级
bosscai88,,248.9,7.29074E+18,汽车,400374,15000,0.97,0.16,0.55,0.21,0.05,80.6,0,55164,0.0252,0.1366,10.790336,271.92,10.1,S级
Joyce姓尹,,0.6,6.6712E+18,汽车,415564,16000,0.71,0.08,0.33,0.25,0.09,56.28,39.47799231,1348,1,0.0235,11.8694362,11869.44,7.5,A级
库罗一,,6.1,6.87016E+18,汽车,356729,50000,0.95,0.38,0.25,0.04,0.01,60.95,66.28173341,229781,0.0295,0.2054,7.376220202,217.6,10.4,S级
江苏🙏🙏🙏倩姐,,479.2,6.85328E+18,汽车,381151,10000,0.94,0.06,0.34,0.35,0.23,76.03,71.51166305,93928,0.0074,0.2309,14.38709811,106.46,10.8,S级
招小鹿🦌12月27日祁门红茶推介,,391.4,7.20365E+18,汽车,421172,100000,0.92,0.08,0.4,0.26,0.25,70.01,0,18812,0.0146,0.1784,364.0928699,5315.76,9.6,A级
一只耳说车,,247.7,6.96352E+18,汽车,379495,40000,0.94,0.35,0.24,0.05,0.07,77.02,72.80679349,51064,0.0205,0.1315,38.21125474,783.33,9.6,A级
Really 陈琛,,635,7.06714E+18,汽车,428943,26800,0.94,0.24,0.48,0.13,0.03,75.84,60,254321,0.0152,0.1153,6.932804978,105.38,11.1,S级
阿枝的同车生活,,42.2,6.87017E+18,汽车,434153,30600,0.94,0.22,0.46,0.21,0.07,74.66,75.64278417,46049,0.0112,0.1924,59.3312093,664.51,11.6,S级
高兴说车,,27.1,6.86387E+18,汽车,431365,60000,0.69,0.28,0.42,0.13,0.07,63.94,60.62263042,2982,0.2172,0.0293,92.63685242,20120.72,7.6,A级
灵七七的车,,103.9,6.85647E+18,汽车,424817,56000,0.89,0.29,0.47,0.12,0.03,72.1,89.13732318,40341,0.0211,0.1063,65.78985241,1388.17,13.6,S级
懂车的朱老板,,291.2,6.96686E+18,汽车,414548,12000,0.91,0.28,0.48,0.13,0.03,75.18,73.38966515,135186,0.0084,0.0829,10.56745098,88.77,12.6,S级
睛探号,,122,7.02861E+18,汽车,378763,23000,0.97,0.33,0.42,0.1,0.02,70.42,66.60618336,144324,0.0136,0.0328,11.71791574,159.36,11.1,S级
大政老爷车,,65.3,6.87017E+18,汽车,401643,12700,0.95,0.09,0.39,0.32,0.18,70.15,60,128249,0.0134,0.182,7.390008453,99.03,11.1,S级
暴躁车评,,130.1,6.87017E+18,汽车,455273,80000,0.94,0.27,0.47,0.11,0.05,72.86,82.77373255,38743,0.0195,0.0884,105.8917508,2064.89,9.6,A级
广东牛仔,,6.9,6.98357E+18,汽车,341333,10100,0.96,0.23,0.53,0.17,0.03,67.37,68.49909343,164715,0,,1.01E+13,61.32,7.2,A级
高璇Echo,,54.7,6.80322E+18,汽车,440400,25800,0.89,0.38,0.29,0.07,0.01,69.98,68.8270413,70997,0.048,0.124,7.570742426,363.4,10.4,S级
重庆彬二哥汽车销售,,105,6.94045E+18,汽车,394927,10000,0.94,0.31,0.51,0.11,0.02,68.26,71.04714863,133196,0.0089,0.0554,8.435655017,75.08,10.9,S级
车哥同学,,55,7.24331E+18,汽车,421961,35000,0.89,0.09,0.38,0.33,0.18,68.83,0,40728,0.0186,0.1227,46.20213195,859.36,8.4,A级
潇潇不懂车,,27.1,7.11753E+18,汽车,394545,38000,0.97,0.3,0.31,0.08,0.02,68.54,70.54365188,53746,0.0671,0.0605,10.53695023,707.03,9.9,A级
小妹修车,,20.9,7.0292E+18,汽车,449282,22500,0.92,0.15,0.41,0.27,0.13,65.4,86.29549019,54571,0.0155,0.0769,26.60044535,412.31,12.4,S级
卡车女司机姚姚小号,,90.3,6.87017E+18,汽车,390491,12800,0.77,0.06,0.33,0.35,0.25,68.07,66.23907444,53842,0.0126,0.2787,18.86766866,237.73,8.9,A级
小姨的车cool,,7.2,6.69861E+18,汽车,415207,35000,0.76,0.11,0.56,0.2,0.08,60.39,33.25466691,3066,0.0594,0.1257,192.1805575,11415.53,8.4,A级
招财喵剧组,,1057.3,7.13532E+18,"剧情搞笑, 汽车",636436,85000,0.93,0.46,0.26,0.02,0.01,85.58,75.38337998,1887286,0.0243,0.2886,1.853424646,45.04,14.6,S级
泰国JDM王,,708.6,6.87017E+18,汽车,782859,40000,0.92,0.3,0.38,0.09,0.05,76.39,68.14054653,456420,0.0212,0.1521,4.133895212,87.64,12.1,S级
小李的李,,702.2,7.2238E+18,汽车,708109,27800,0.97,0.38,0.23,0.03,0.01,80.76,0,1421485,0.0272,0.2379,0.719007815,19.56,13.6,S级
尹哥普及新能源,,27.4,7.13139E+18,汽车,742140,150000,0.93,0.16,0.52,0.23,0.08,58.39,60,371562,0.1088,0.0069,3.710488345,403.7,8.2,A级
参谋长说车,,1316.2,6.87016E+18,汽车,703768,150000,0.85,0.13,0.43,0.27,0.15,83.79,67.49567582,170012,0.0097,0.2275,90.95780019,882.29,10.6,S级
卡车小冯,,290.7,7.17802E+18,汽车,495930,15000,0.97,0.18,0.5,0.21,0.07,74.5,0,1272370,0.0118,0.1375,0.999069799,11.79,13.6,S级
丈母娘唠车-胡永平,,92.1,6.62966E+18,汽车,632263,140000,0.84,0.32,0.45,0.09,0.02,71.1,66.16879294,241252,0.0123,0.1981,47.17935528,580.31,10.6,S级
汽车人一零,,227.8,7.16554E+18,汽车,502468,90700,0.96,0.25,0.47,0.13,0.05,72.15,0,155436,0.017,0.1009,34.32470031,583.52,9.6,A级
亢岳,,206.3,6.87017E+18,汽车,674175,80000,0.95,0.41,0.33,0.04,0.01,80.07,66.94721198,376930,0.0238,0.0392,8.917689061,212.24,11.6,S级
博博玩越野（不磕博）,,262.8,7.08824E+18,汽车,477097,22900,0.93,0.34,0.23,0.05,0.05,81.34,70.16898824,389885,0.0151,0.1274,3.889752854,58.74,13.6,S级
车模冰冰酱✨,,474.4,6.62966E+18,汽车,739306,50000,0.77,0.1,0.49,0.2,0.08,79.71,54.74597365,47181,0.0547,0.1987,19.37383231,1059.75,10.1,S级
吴子峰玩车,,516.1,6.9201E+18,汽车,490347,105000,0.94,0.31,0.3,0.07,0.03,80.25,73.01313801,200468,0.0194,0.1533,26.99867876,523.77,11.6,S级
飘油哥,,247.9,7.06369E+18,汽车,656539,50000,0.97,0.15,0.51,0.23,0.08,73.86,60,498691,0.0355,0.1627,2.824295414,100.26,12.1,S级
还有一腔热血🇨🇳🇨🇳,,2327.2,6.87017E+18,汽车,570427,15200,0.69,0.24,0.3,0.08,0.11,80.88,70.06246672,1110668,0.0175,0.4655,0.782026158,13.69,14.6,S级
小芬说车,,209.6,7.04531E+18,汽车,571721,22900,0.96,0.1,0.5,0.3,0.09,74.42,60,527686,0.0149,0.0936,2.912551691,43.4,12.6,S级
便宜车多（大网红精品车）,,592.2,7.02908E+18,汽车,729331,18000,0.92,0.06,0.36,0.37,0.2,83.68,60,485119,0.0122,0.0938,3.041335912,37.1,12.6,S级
爱冒险的Angelina,,8.9,7.28004E+18,"旅行, 汽车",604391,150000,0.38,0.33,0.4,0.09,0.02,42.57,0,50487,0.25,0.1478,11.88424743,2971.06,6.8,B级
成都虎王,,1728,6.9421E+18,汽车,604642,18000,0.97,0.26,0.46,0.13,0.03,77.86,60,1099336,0.0101,0.2229,1.621140596,16.37,13.6,S级
挖机视频大全,,5043.4,7.04629E+18,汽车,743545,25200,0.85,0.13,0.32,0.22,0.29,85.66,60,8916,0.0035,0.3468,807.5370121,2826.38,8.4,A级
溜达嘴,,267.7,6.86823E+18,汽车,494101,19999,0.52,0.14,0.44,0.13,0.26,75.33,67.96885298,115253,0.0058,0.0774,29.91768933,173.52,9.4,A级
胖哥试车,,313.8,6.8155E+18,汽车,728815,600000,0.95,0.21,0.48,0.15,0.09,76.32,67.51325313,77113,0.0225,0.0488,345.8128547,7780.79,10.6,S级
潘Ger,,213.5,7.11174E+18,汽车,742342,18000,0.6,0.28,0.32,0.07,0.05,72.74,67.77298433,111619,0.0285,0.1543,5.658346226,161.26,11.6,S级
车友会老丁,,178.3,7.10088E+18,汽车,490913,18000,0.98,0.2,0.53,0.19,0.04,76.57,60,532837,0.013,0.1043,2.598572142,33.78,13.6,S级
凯皇（Late）,,2634.1,6.9774E+18,汽车,764008,12000,0.82,0.21,0.34,0.1,0.1,80.83,70.81748521,100871,0.0122,0.2101,9.751133204,118.96,12.1,S级
十方重机（孙帅帅）,,110.9,6.84303E+18,汽车,768255,22900,0.88,0.23,0.39,0.15,0.07,74.54,69.50623804,157739,0.0172,0.1211,8.440495685,145.18,12.1,S级
LU鹿茜🦌,,1.3,6.82473E+18,汽车,762419,100000,0.17,0.07,0.29,0.36,0.27,49.42,65.10632006,9003,0.6034,0.0033,18.40803553,11107.41,4.7,C级
宋教说车,,1001.6,7.05195E+18,汽车,499929,11400,0.74,0.26,0.45,0.17,0.04,77.34,0,225504,0.0187,0.2205,2.703391818,50.55,12.6,S级
小酸奶说车🚗,,1598,7.22564E+18,汽车,624743,7200,0.97,0.18,0.53,0.2,0.06,78.67,0,718774,0.0126,0.2368,0.79500451,10.02,13.6,S级
爱车的小欧,,49.8,6.96683E+18,汽车,755248,28000,0.79,0.3,0.38,0.07,0.16,73.14,65.47438591,128297,0.0538,0.1726,4.056572614,218.24,11.6,S级
汽车演说家小蔡,,62.1,6.62966E+18,汽车,731866,35000,0.93,0.41,0.37,0.06,0.01,68.5,69.39662978,175099,0.0156,0.1693,12.81326417,199.89,9.9,A级
小七聊机械,,717.6,7.1736E+18,汽车,532586,14000,0.97,0.25,0.45,0.16,0.05,80.22,0,271967,0.007,0.1166,7.353833369,51.48,10.8,S级
好兄弟汽车,,176.9,6.87017E+18,汽车,687307,27200,0.92,0.13,0.47,0.26,0.12,72.99,0,285727,0.0087,0.1364,10.94204181,95.2,10.6,S级
白面小金刚,,6.2,6.62966E+18,汽车,570279,40000,0.64,0.06,0.49,0.23,0.11,48.76,37.33661237,5928,0.6684,0.0064,10.09520994,6747.64,6.7,B级
姜姜最甜,,1.1,6.82145E+18,汽车,751100,40000,0.25,0.02,0.14,0.3,0.53,41.32,67.28610795,2989,0.8612,0.0114,15.53925005,13382.4,4.1,C级
车界大师兄,,13.4,6.81511E+18,汽车,557062,30000,0.84,0.1,0.35,0.24,0.09,45.41,44.74052858,1255,1,0.042,23.90438247,23904.38,7.8,A级
飞天小粉猪,,2.7,6.87017E+18,汽车,770941,30000,0.46,0.01,0.05,0.21,0.72,47.56,68.64167614,4234,0.96,0.0084,7.380727444,7085.5,5.6,B级
说车小希,,6395,6.87016E+18,汽车,625553,45000,0.55,0.01,0.04,0.17,0.77,48.66,58.71283266,12546,0.2891,0.0215,12.40678165,3586.8,5.5,B级
小佩奇！,,141.4,6.89686E+18,"汽车, 测评",523240,25000,0.88,0.27,0.28,0.09,0.06,77.68,74.95850871,160841,0.0223,0.0615,6.970089922,155.43,12.6,S级
媛张张Chloe,,2.4,6.74231E+18,汽车,744861,36000,0.7,0.18,0.41,0.17,0.08,54.44,35.94980783,3951,1,0.0229,9.111617312,9111.62,8,A级
主持人杨洁 🎈,,418.9,6.87017E+18,汽车,474748,12000,0.9,0.43,0.31,0.04,0.02,80.79,68.1484538,415157,0.0178,0.138,1.623861102,28.9,14.6,S级
姚若希Assisi,,1.5,6.71825E+18,汽车,513440,35000,0.37,0.05,0.32,0.26,0.34,41.91,36.29634883,2652,0.563,0.033,23.44153948,13197.59,5.3,B级
锦鲤宝宝🦋,,3.2,6.85814E+18,汽车,519874,35000,0.5,0.02,0.06,0.16,0.75,49.73,61.54764855,4528,1,0.6523,7.729681979,7729.68,6.8,B级
老J,,253.9,7.02272E+18,汽车,599702,20000,0.95,0.28,0.24,0.07,0.03,76.97,74.87190077,226573,0.0185,0.0781,4.771447088,88.27,13.1,S级
贴膜的大福,,202.6,6.83435E+18,汽车,651039,30000,0.93,0.45,0.3,0.03,0.01,78.05,70.25324853,200584,0.0134,0.1458,11.16143845,149.56,11.6,S级
斌斌仔会玩车,,149.1,6.87016E+18,汽车,611234,35800,0.76,0.25,0.31,0.08,0.15,72.16,71.3459629,100580,0.0407,0.104,8.74534579,355.94,11.6,S级
婕婕🏍️,,165.4,7.18771E+18,汽车,556127,15000,0.93,0.31,0.29,0.07,0.03,71.88,0,150451,0.0362,0.2945,2.754150128,99.7,12.1,S级
特费电特斯拉,,601.9,7.033E+18,汽车,557449,61800,0.91,0.27,0.49,0.13,0.03,84.56,94.89769473,73894,0.0283,0.1867,29.55240727,836.33,13.6,S级
安娜美美子,,1.4,6.71944E+18,汽车,760056,30000,0.44,0.04,0.19,0.28,0.47,42.15,39.04529649,1731,0.3,0.0211,57.7700751,17331.02,3.5,C级
🌈咬咬yummy🌈,,5.4,6.71532E+18,汽车,688112,35000,0.47,0.15,0.39,0.23,0.07,40.98,66.35808201,1617,1,0.0214,21.64502165,21645.02,7,B级
小源收车,,92.5,6.95812E+18,汽车,531968,18000,0.9,0.31,0.41,0.11,0.06,70.39,72.11719824,226271,0.0249,0.2093,3.194804311,79.55,12.1,S级
一辉917,,552.9,7.01254E+18,"剧情搞笑, 汽车",828201,38000,0.89,0.27,0.3,0.09,0.05,77.86,70.78776999,1019078,0.0164,0.2016,2.273695606,37.29,13.6,S级
舒甜的车,,2775.3,7.02367E+18,汽车,858887,40000,0.86,0.18,0.43,0.23,0.11,90.61,73.56775503,805843,0.0085,0.14,5.839701223,49.64,13.6,S级
初晓敏,,156.4,6.62972E+18,汽车,917452,250000,0.95,0.3,0.49,0.09,0.05,76.14,63.68045388,181180,0.0232,0.0528,59.47600215,1379.84,10.6,S级
小吕斯基,,341.9,6.85004E+18,汽车,979524,100000,0.93,0.31,0.43,0.1,0.04,81.33,71.52636956,351613,0.0178,0.1348,15.97772986,284.4,11.1,S级
唐山棒哥,,18.7,7.2229E+18,汽车,953820,115000,0.95,0.34,0.45,0.08,0.01,67.97,0,618890,0,,1.15E+14,185.82,5.2,B级
秋晨同学,,231.5,6.79924E+18,汽车,982515,90000,0.89,0.25,0.46,0.13,0.09,76.49,69.83728577,112328,0.0309,0.0127,25.92961113,801.22,9.8,A级
陈师傅开挖机只开腊挖机,,467.2,6.93861E+18,汽车,855831,22000,0.93,0.23,0.45,0.16,0.08,78.24,70.92531622,1004411,0.0094,0.1475,2.330147252,21.9,14.6,S级
小羊biubiu,,161.2,6.87016E+18,汽车,900132,65000,0.95,0.32,0.31,0.05,0.02,75.59,60,224396,0.0176,0.1725,16.45832287,289.67,10.1,S级
老司机观察,,363.2,7.0553E+18,汽车,829070,25000,0.86,0.39,0.25,0.05,0.02,77.9,70.25964486,392917,0.0115,0.165,5.532753847,63.63,12.6,S级
名车工匠,,668.6,6.90935E+18,汽车,846863,51000,0.94,0.25,0.49,0.14,0.04,78.32,92.18887514,250449,0.0265,0.1111,7.684312183,203.63,14.6,S级
于哲🚗,,253.3,6.84778E+18,汽车,898216,32000,0.97,0.41,0.26,0.04,0.01,76.98,92.36671319,693608,0.0155,0.3408,2.976488346,46.14,16.6,S级
关键说车,,564.4,6.86771E+18,汽车,880968,50000,0.79,0.06,0.27,0.3,0.36,76.32,90.26146518,120434,0.01,0.1511,41.51651527,415.17,12.6,S级
CarTops「超清4K」,,399.3,7.00062E+18,汽车,969939,31900,0.87,0.3,0.21,0.05,0.08,78.18,68.06258184,214707,0.0436,0.1616,3.407673602,148.57,13.1,S级
手把手带你开新大挖机,,412.1,6.88139E+18,汽车,805224,16000,0.91,0.28,0.42,0.14,0.05,76.8,70.34279712,496910,0.006,0.1124,5.366498293,32.2,12.8,S级
挺哥爱玩车,,185.1,6.96906E+18,汽车,808510,25000,0.97,0.42,0.34,0.03,0,78.86,95.98547336,266027,0.0157,0.1371,5.985695767,93.98,15.1,S级
校长哥说开车,,369.8,6.96806E+18,汽车,900624,29700,0.66,0.08,0.32,0.37,0.21,75.99,71.70783388,80430,0.0177,0.0686,20.86244065,341.91,10.6,S级
春风化雨.,,10.6,6.62966E+18,汽车,840563,68000,0.72,0.09,0.38,0.24,0.09,64.43,39.21440337,4706,0.2885,0.0107,50.08540298,14449.64,7.2,A级
汽车碰撞研究所,,417.5,7.13721E+18,汽车,865391,50000,0.77,0.19,0.42,0.17,0.15,78.39,68.64509293,167392,0.0191,0.0987,15.63874646,298.7,11.1,S级
马邦德,,299.4,6.73132E+18,汽车,802459,61000,0.93,0.35,0.37,0.08,0.04,80.35,69.87342157,185327,0.008,0.0622,41.14349231,329.15,10.6,S级
撕车场,,7195,6.95564E+18,汽车,901858,60000,0.72,0.09,0.56,0.16,0.15,39.59,31.74071193,2461,0.5319,0.0187,45.83630983,24380.33,6.4,B级
黄小黄驾到,,443.6,6.87016E+18,汽车,932263,40000,0.84,0.21,0.48,0.18,0.07,78.11,72.02326853,184476,0.0142,0.0313,15.26974462,216.83,10.1,S级
敞王-Danny汽车服务,,1.8,6.87017E+18,汽车,843498,50000,0.77,0.07,0.4,0.4,0.09,55.2,33.81991683,1077,0,,5E+13,46425.26,4.6,C级
武汉大鹏汽车,,95.7,6.87017E+18,汽车,918924,27400,0.92,0.1,0.46,0.31,0.12,77.26,76.75745759,288194,0.008,0.1553,11.88435568,95.07,12.6,S级
边哥看世界,,6.7,7.18282E+18,"汽车, 测评",984022,80000,0.87,0.16,0.44,0.22,0.12,62.28,0,480548,0,0,8E+13,166.48,5.2,B级
零炭计划,,311.3,6.81109E+18,汽车,905051,100000,0.7,0.19,0.33,0.1,0.3,77.76,66.83146504,69569,0.0134,0.0469,107.2702866,1437.42,10.6,S级
说车葵葵,,2.2,7.16469E+18,汽车,936419,35000,0.51,0.05,0.51,0.18,0.23,53.79,0,4694,0,,3.5E+13,7456.33,4.6,C级
morning,,1.2,6.62966E+18,汽车,869088,62000,0.68,0.09,0.39,0.24,0.09,44.37,37.67802892,3851,1,0.0779,16.09971436,16099.71,8.3,A级
乔妹讲车,,3,6.87016E+18,汽车,900916,50000,0.41,0.04,0.29,0.21,0.45,42.76,40.27223156,50558,0.129,0.0103,7.666381171,988.96,5.1,B级
大圣玩车,,130.2,6.90444E+18,汽车,942860,50000,0.91,0.33,0.28,0.07,0.04,74.4,77.40974904,203737,0.0146,0.1399,16.80920763,245.41,12.1,S级
张小闹聊养车,,560.4,6.90834E+18,汽车,902177,17000,0.9,0.15,0.4,0.27,0.14,82.42,76.72426719,150820,0.013,0.0842,8.670549713,112.72,13.1,S级
徐哥说车,,14.9,6.82876E+18,汽车,933400,12000,0.52,0.09,0.46,0.21,0.18,55.64,66.57420172,3349,0.7878,0.0143,4.548310678,3583.16,9,A级
cc没有果冻🏍️,,461.7,6.98536E+18,汽车,846799,25000,0.92,0.34,0.27,0.06,0.02,73.79,74.60396011,272242,0.0141,0.1881,6.512770423,91.83,13.1,S级
辉哥说车,,40.6,6.87017E+18,汽车,952580,40000,0.92,0.14,0.5,0.24,0.09,73.34,86.83832185,196356,0.0108,0.0395,18.86218758,203.71,14.1,S级
《越玩越野》,,135.5,6.87017E+18,汽车,808452,180000,0.69,0.15,0.36,0.19,0.23,76.24,66.45473645,16542,0.0301,0.0584,361.5080671,10881.39,10.6,S级
Kitty杨和萦,,3.9,6.9591E+18,汽车,938737,20000,0.29,0.02,0.04,0.14,0.79,58.51,65.04925676,4200,0.5221,0.0063,9.12067566,4761.9,4.2,C级
Jeremy,,3.6,6.62966E+18,汽车,817214,35000,0.67,0.22,0.25,0.24,0.03,46.79,40.2079063,2305,1,0.0159,15.18438178,15184.38,7.5,A级
非州小野人🧚‍♀️,,1.1,6.64999E+18,汽车,834033,30000,0.8,0.18,0.34,0.21,0.03,42.12,39.80403551,2967,1,0.0171,10.11122346,10111.22,7.5,A级
一只小喵幂,,5.7,6.87017E+18,汽车,828407,40000,0.45,0.02,0.05,0.18,0.75,46.29,58.98400852,2054,1,0.0558,19.47419669,19474.2,5.3,B级
赵老师说车,,504,6.77912E+18,汽车,829051,48000,0.92,0.27,0.47,0.14,0.05,83.28,90.26637015,68627,0.0084,0.0533,83.2658533,699.43,13.6,S级
p哥测评,,276.5,6.71222E+18,汽车,983610,65000,0.76,0.15,0.39,0.19,0.24,77.06,67.19532798,34688,0.0834,0.1131,22.46818781,1873.85,10.6,S级
仲尼玩车,,134.8,6.9635E+18,汽车,968050,50000,0.66,0.1,0.38,0.13,0.31,70.14,65.6485977,69364,0.0444,0.122,16.23502287,720.84,11.1,S级
跟贾哥玩车车,,309.1,6.8106E+18,汽车,946166,29000,0.93,0.24,0.42,0.15,0.04,80.6,93.14026593,132062,0.0154,0.1267,14.25933942,219.59,14.1,S级
荆棘队长,,158.2,6.99802E+18,汽车,920881,50000,0.89,0.3,0.39,0.11,0.02,66.04,68.43784986,59399,0.0207,0.2073,40.66497647,841.77,9.4,A级
张凯特,,171.2,6.75534E+18,汽车,908396,75000,0.72,0.25,0.35,0.09,0.19,63.3,65.04920807,27477,0.1115,0.0556,24.48031954,2729.56,9.4,A级
笑笑驾到,,3.6,6.9973E+18,汽车,957846,80000,0.64,0.03,0.11,0.22,0.63,58.32,67.37454852,11244,0,,8E+13,7114.91,3.6,C级
sonny _G 在新西兰🇳🇿,,388.3,6.80441E+18,汽车,807407,18200,0.96,0.35,0.24,0.05,0.02,76.78,73.93010053,121998,0.0227,0.051,6.571928347,149.18,13.1,S级
燃擎频道,,12.4,6.96947E+18,汽车,841075,100000,0.39,0.09,0.6,0.1,0.15,54.72,36.97185426,1212,0.5862,0.1325,140.7510249,82508.25,6.3,B级
皮皮匠官方账号,,117.5,6.79849E+18,汽车,860497,20000,0.95,0.23,0.53,0.18,0.03,78.84,75.24122573,113793,0.0087,0.1189,20.20203857,175.76,11.6,S级
贴地飞行,,99.7,6.79319E+18,"旅行, 汽车",932538,120000,0.84,0.17,0.46,0.22,0.09,71.88,62.16004333,39972,0.0116,0.0977,258.801851,3002.1,9.6,A级
潘同学Armin,,23.4,6.68328E+18,汽车,918651,160000,0.49,0.28,0.2,0.06,0.22,62.65,59.93544107,148871,0.1416,0.0615,7.590084723,1074.76,7.4,A级
西巴探车,,8.2,6.73194E+18,汽车,1017556,40000,0.82,0.24,0.48,0.12,0.06,58.35,66.33317422,27615,1,0.0209,1.448488141,1448.49,10,S级
懂车的小董,,594.4,7.03157E+18,汽车,1021644,45000,0.74,0.31,0.3,0.05,0.12,82.77,75.39700401,238906,0.0141,0.0829,13.35876605,188.36,12.1,S级
科技大彬,,78.5,6.66002E+18,汽车,1045367,95400,0.59,0.07,0.44,0.23,0.13,74.09,60.88474561,5349,0.0275,0.0129,648.5494315,17835.11,8.8,A级
老郭机械局,,854.2,7.05029E+18,汽车,1133226,82000,0.94,0.17,0.47,0.22,0.1,81.86,72.38332638,278713,0.0114,0.3323,25.80784698,294.21,9.6,A级
袁启聪,,195.9,6.82439E+18,汽车,1017780,450000,0.91,0.32,0.41,0.1,0.03,72.8,67.70836631,137442,0.0407,0.109,80.44492263,3274.11,10.6,S级
玩车的manda,,77.8,7.13783E+18,汽车,1048169,38500,0.67,0.03,0.09,0.16,0.72,68.33,66.53086714,16712,0.9218,0.0605,2.499168848,2303.73,9.4,A级
穆杉车话,,4.5,6.85411E+18,汽车,1091045,200000,0.53,0.03,0.09,0.19,0.68,46.26,55.21646333,8117,0.2709,0.0311,90.9547626,24639.65,5.8,B级
爵士驾道,,56.3,7.11719E+18,"汽车, 测评",1009000,90000,0.31,0.08,0.39,0.11,0.39,67.23,60,1888,0.3401,0.038,140.1631624,47669.49,6.9,B级
